"LAKE_ID","Characteristic.Name","year","annualav"
"0101DEL0025","CHLOROPHYLL A",2006,91.3320805953493
"0101DEL0025","CHLOROPHYLL A",2016,86.1429610125955
"0101DEL0025","DEPTH, SECCHI DISK DEPTH",2005,65.1396859421571
"0101DEL0025","DEPTH, SECCHI DISK DEPTH",2006,64.1775922582975
"0101DEL0025","DEPTH, SECCHI DISK DEPTH",2016,69.791957184383
"0101DEL0025","PHOSPHORUS",2005,74.7445301408359
"0101DEL0025","PHOSPHORUS",2006,70.240384196777
"0101DEL0025","PHOSPHORUS",2016,60.4720415193578
"0101HYDXXX1","CHLOROPHYLL A",2005,70.1229131450014
"0101HYDXXX1","CHLOROPHYLL A",2006,71.1369644091387
"0101HYDXXX1","DEPTH, SECCHI DISK DEPTH",2005,69.9882508718688
"0101HYDXXX1","DEPTH, SECCHI DISK DEPTH",2006,69.0989374411205
"0101HYDXXX1","PHOSPHORUS",2006,65.1429834528721
"0102AKR0013","CHLOROPHYLL A",2006,60.0294753402345
"0102AKR0013","CHLOROPHYLL A",2016,56.7482576936549
"0102AKR0013","DEPTH, SECCHI DISK DEPTH",2006,53.6922477473652
"0102AKR0013","DEPTH, SECCHI DISK DEPTH",2016,54.1881210394971
"0102AKR0013","PHOSPHORUS",2006,53.4955819150627
"0102AKR0013","PHOSPHORUS",2016,45.0337140844632
"0102ATT0020","CHLOROPHYLL A",2005,70.9367968482508
"0102ATT0020","CHLOROPHYLL A",2010,63.9467608118768
"0102ATT0020","CHLOROPHYLL A",2011,60.9387952430464
"0102ATT0020","DEPTH, SECCHI DISK DEPTH",2010,51.6102729179231
"0102ATT0020","DEPTH, SECCHI DISK DEPTH",2011,54.5161698923892
"0102ATT0020","PHOSPHORUS",2010,51.6224610528844
"0102ATT0020","PHOSPHORUS",2011,52.1028961866664
"0102ATT0020A","CHLOROPHYLL A",2005,83.2049885673409
"0102ATT0020A","CHLOROPHYLL A",2011,63.5935683045305
"0102ATT0020A","DEPTH, SECCHI DISK DEPTH",2011,50.0781020824815
"0102ATT0020A","PHOSPHORUS",2005,59.9289945557579
"0102ATT0020A","PHOSPHORUS",2011,52.4499443282322
"0102DIV0015","CHLOROPHYLL A",2010,74.3640220683189
"0102DIV0015","CHLOROPHYLL A",2011,62.044651083514
"0102DIV0015","DEPTH, SECCHI DISK DEPTH",2010,50.3765787411848
"0102DIV0015","DEPTH, SECCHI DISK DEPTH",2011,51.6951948177323
"0102DIV0015","PHOSPHORUS",2010,56.4513984067081
"0102DIV0015","PHOSPHORUS",2011,59.1355316051932
"0102FAU0021A","DEPTH, SECCHI DISK DEPTH",2001,47.9977795385052
"0102GOU0016E","CHLOROPHYLL A",2005,43.8129123536253
"0102GOU0016E","DEPTH, SECCHI DISK DEPTH",2005,60
"0102LA 5022","CHLOROPHYLL A",2016,39.8881885391709
"0102LA 5022","DEPTH, SECCHI DISK DEPTH",2015,67.3609972384679
"0102LA 5022","DEPTH, SECCHI DISK DEPTH",2016,72.2304888450729
"0102LA 5022","PHOSPHORUS",2015,43.8577874721485
"0102LA 5022","PHOSPHORUS",2016,42.5094770530144
"0103ORC5454","PHOSPHORUS",2001,69.9679009209662
"0104CLE0100","CHLOROPHYLL A",2011,63.4529405158505
"0104CLE0100","DEPTH, SECCHI DISK DEPTH",2001,53.227247702569
"0104CLE0100","DEPTH, SECCHI DISK DEPTH",2011,52.0975209899489
"0104CLE0100","PHOSPHORUS",2001,78.4847550806469
"0104CLE0100","PHOSPHORUS",2011,55.5894972101312
"0104CRY0147","CHLOROPHYLL A",2016,44.4334285003519
"0104CRY0147","DEPTH, SECCHI DISK DEPTH",2001,41.9476856239817
"0104CRY0147","DEPTH, SECCHI DISK DEPTH",2016,44.0054669972926
"0104CRY0147","PHOSPHORUS",2001,75.4084837340262
"0104CRY0147","PHOSPHORUS",2016,35.8725803752803
"0104FRO0128","PHOSPHORUS",2005,44.8342835420209
"0104GRE5309","CHLOROPHYLL A",2006,74.0438759075251
"0104GRE5309","DEPTH, SECCHI DISK DEPTH",2001,57.3727463665991
"0104GRE5309","DEPTH, SECCHI DISK DEPTH",2005,63.2154985744378
"0104GRE5309","DEPTH, SECCHI DISK DEPTH",2006,55.3854358217229
"0104GRE5309","PHOSPHORUS",2005,61.3197548689923
"0104GRE5309","PHOSPHORUS",2006,72.4151258486892
"0104JAV0152","CHLOROPHYLL A",2007,84.9497913364717
"0104JAV0152","CHLOROPHYLL A",2008,72.0186884044968
"0104JAV0152","CHLOROPHYLL A",2009,82.9496632654531
"0104JAV0152","CHLOROPHYLL A",2010,79.8185534500225
"0104JAV0152","CHLOROPHYLL A",2011,79.040487897827
"0104JAV0152","CHLOROPHYLL A",2012,84.3958352386724
"0104JAV0152","CHLOROPHYLL A",2013,78.867325103008
"0104JAV0152","CHLOROPHYLL A",2014,80.5432608346774
"0104JAV0152","CHLOROPHYLL A",2015,82.1907706759776
"0104JAV0152","CHLOROPHYLL A",2016,84.9779488546593
"0104JAV0152","CHLOROPHYLL A",2017,76.0893311835611
"0104JAV0152","PHOSPHORUS",2007,73.5011701829773
"0104JAV0152","PHOSPHORUS",2008,69.0711502049357
"0104JAV0152","PHOSPHORUS",2009,71.4845016938434
"0104JAV0152","PHOSPHORUS",2010,75.4226462769117
"0104JAV0152","PHOSPHORUS",2011,71.8030979721171
